field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,418594056001.0,1031090432515.0,877012363687.0,521572063203.0,301473997755.0,333366969586.0,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,418594056001.0,1031090432515.0,877012363687.0,521572063203.0,301473997755.0,333366969586.0,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,377632821051.0,969500400988.0,824390815484.0,479070586583.0,272044830363.0,304746477679.0,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,40961234950.0,61590031527.0,52621548203.0,42501476620.0,29429167392.0,28620491907.0,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,365084743.0,607676703.0,1498672361.0,2952813908.0,5291946375.0,4932692217.0,,,,,,,,,,,,,,
. Chi phí tài chính__1,11002296982.0,10734279505.0,15179119234.0,6068965605.0,7673741900.0,6777613199.0,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,11001525957.0,10450549198.0,9695695146.0,6056965605.0,7316190441.0,6729613199.0,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",425320086.0,,6857097.0,8584341.0,137652142.0,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,28096059310.0,36620818194.0,35668790049.0,28136523671.0,20447105764.0,18195738545.0,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,2653283487.0,14842610531.0,3279168378.0,11257385593.0,6737918245.0,8579832380.0,,,,,,,,,,,,,,
. Thu nhập khác__1,710262768.0,1690681517.0,2082089377.0,1433122498.0,2024766487.0,861124838.0,,,,,,,,,,,,,,
. Chi phí khác__1,378597162.0,477805673.0,11791666.0,188517470.0,42257824.0,398374013.0,,,,,,,,,,,,,,
. Lợi nhuận khác__1,331665606.0,1212875844.0,2070297711.0,1244605028.0,1982508663.0,462750825.0,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,2984949093.0,16055486375.0,5349466089.0,12501990621.0,8720426908.0,9042583205.0,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,516637620.0,-1641430437.0,4505198007.0,4793926487.0,1748818543.0,1858743444.0,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,-838030.0,5829628281.0,-3387280709.0,-2276427531.0,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,2469149503.0,11867288531.0,4231548791.0,9984491665.0,6971608365.0,7183839761.0,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,5595782.0,-616066599.0,-98954593.0,65363649.0,-29215424.0,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,2463553721.0,12483355130.0,4330503384.0,9919128016.0,7000823789.0,7183839761.0,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,618.0,3355.0,1164.0,2666.0,1785.0,1868.0,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,618.0,3355.0,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,427067118856.0,427326293806.0,912686457711.0,407735576753.0,247942715699.0,175027465194.0,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,17814014704.0,67743321392.0,146431364102.0,114466423752.0,95550799310.0,47218076966.0,,,,,,,,,,,,,,
..Tiền__1,17814014704.0,67743321392.0,146431364102.0,114466423752.0,95550799310.0,47218076966.0,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,4092500000.0,4104500000.0,4137000000.0,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,5600000000.0,5600000000.0,5600000000.0,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,-1507500000.0,-1495500000.0,-1463000000.0,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,233311866790.0,205777596177.0,155172209279.0,161777334846.0,128414116587.0,72788558001.0,,,,,,,,,,,,,,
..Phải thu khách hàng__1,158071165924.0,105750789954.0,97000626659.0,98211005951.0,85169401519.0,66399677199.0,,,,,,,,,,,,,,
..Trả trước cho người bán__1,3937309465.0,4745535224.0,6365552930.0,16908034474.0,31764630533.0,381742502.0,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,71303391401.0,95471255652.0,52438835318.0,47000961168.0,11480084535.0,6007138300.0,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,-189984653.0,-632805628.0,-342666747.0,,,,,,,,,,,,,,,,
