field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,533993916312.0,515860880351.0,484169808161.0,432168011986.0,,338867864182.0,411953863685.0,345082321106.0,255569283187.0,206284909079.0,202947134859.0,193181341861.0,162222263918.0,,,,,,,,
. Các khoản giảm trừ doanh thu__1,12195320285.0,20882458825.0,16638847058.0,12671546501.0,,7790691017.0,2699218827.0,2030741373.0,2303151101.0,1993270593.0,1919683409.0,579373440.0,455386477.0,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,521798596027.0,494978421526.0,467530961103.0,419496465485.0,,331077173165.0,409254644858.0,343051579733.0,253266132086.0,204291638486.0,201027451450.0,192601968421.0,161766877441.0,,,,,,,,
. Giá vốn hàng bán__1,334800294729.0,332372550439.0,323135416100.0,281931481656.0,,176964488183.0,285625564268.0,223070939825.0,160744968535.0,122690634225.0,142525016718.0,145990843594.0,130224387988.0,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,186998301298.0,162605871087.0,144395545003.0,137564983829.0,,154112684982.0,123629080590.0,119980639908.0,92521163551.0,81601004261.0,58502434732.0,46611124827.0,31542489453.0,,,,,,,,
. Doanh thu hoạt động tài chính__1,692906924.0,761646510.0,1735309018.0,1411974363.0,,721921744.0,956779409.0,550975149.0,511339997.0,355687124.0,253381176.0,225775489.0,220450178.0,,,,,,,,
. Chi phí tài chính__1,21394892545.0,19616940474.0,16553401743.0,10176038736.0,,6166123773.0,6461723221.0,5931569488.0,5431763642.0,7118553155.0,7676211904.0,4295635671.0,3112476243.0,,,,,,,,
- Trong đó: Chi phí lãi vay__1,18423626846.0,17229412438.0,15088786814.0,8384382722.0,,6058059388.0,6190348812.0,5769942563.0,5199927909.0,6900610003.0,7517406877.0,4160967913.0,2349725329.0,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,95355625008.0,81447392345.0,69751832482.0,65118969955.0,,103353143135.0,87449494420.0,77369095578.0,57064811817.0,54803591243.0,39183927360.0,26647576623.0,18315518226.0,,,,,,,,
