field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,499573159315.0,408298507650.0,368667110815.0,351299085239.0,311734802759.0,335985065979.0,286039530424.0,257841150609.0,262600659022.0,158319645470.0,95935483954.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,1263479100.0,,,,2731021504.0,,292930564.0,1038410198.0,,3254167.0,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,498309680215.0,408298507650.0,368667110815.0,351299085239.0,309003781255.0,335985065979.0,285746599860.0,256802740411.0,262600659022.0,158316391303.0,95935483954.0,,,,,,,,,,
. Giá vốn hàng bán__1,385120404896.0,342197243151.0,312501712214.0,293914548415.0,272641452637.0,280647644381.0,232664697377.0,214023313531.0,209003345453.0,128723168353.0,76593120614.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,113189275319.0,66101264499.0,56165398601.0,57384536824.0,36362328618.0,55337421598.0,53081902483.0,42779426880.0,53597313569.0,29593222950.0,19342363340.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,4143353277.0,2688168023.0,2318039759.0,1651659529.0,898420824.0,2768160359.0,3265129694.0,2254148363.0,2777208941.0,3072187938.0,4312446616.0,,,,,,,,,,
. Chi phí tài chính__1,9426265548.0,10515765647.0,9906928233.0,11896147887.0,12854890587.0,13570121792.0,5578313784.0,1248205776.0,1038481409.0,1410309424.0,2670436335.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,7630389357.0,9375670284.0,9345316291.0,9593020262.0,10999789540.0,9892560501.0,1510093526.0,751822137.0,875387387.0,1385096272.0,2483186171.0,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,64346866986.0,27228019534.0,22935734774.0,26034946597.0,26994368195.0,23700853185.0,25484791233.0,23245168954.0,23308912506.0,9585781063.0,5964052937.0,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,32250481746.0,19413781385.0,19745924899.0,19604996416.0,16018376126.0,16976793468.0,11440446378.0,10878170014.0,14719692383.0,8674412596.0,5838532936.0,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,11309014316.0,11631865956.0,5894850454.0,1500105453.0,-18606885466.0,3857813512.0,13843480782.0,9662030499.0,17307436212.0,12994907805.0,9181787748.0,,,,,,,,,,
. Thu nhập khác__1,1043100206.0,956265481.0,213699338.0,73551563.0,46672000.0,5024365330.0,1160107492.0,2811802320.0,2313716532.0,2598455478.0,60143824.0,,,,,,,,,,
. Chi phí khác__1,105202775.0,151617986.0,235694617.0,251423204.0,61531536.0,3683213584.0,61261431.0,142667132.0,67411853.0,583856211.0,3000000.0,,,,,,,,,,
. Lợi nhuận khác__1,937897431.0,804647495.0,-21995279.0,-177871641.0,-14859536.0,1341151746.0,1098846061.0,2669135188.0,2246304679.0,2014599267.0,57143824.0,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,12246911747.0,12436513451.0,5872855175.0,1322233812.0,-18621745002.0,5198965258.0,14942326843.0,12331165687.0,19553740891.0,15009507072.0,9238931572.0,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,2620990756.0,219500251.0,,,,676513341.0,3234587456.0,,,2737868026.0,1522014943.0,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,2424007334.0,4383749803.0,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,9625920991.0,12217013200.0,5872855175.0,1322233812.0,-18621745002.0,4522451917.0,11707739387.0,9907158353.0,15169991088.0,12271639046.0,7716916629.0,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,9625920991.0,12217013200.0,5872855175.0,1322233812.0,-18621745002.0,4522451917.0,11707739387.0,9907158353.0,15169991088.0,12271639046.0,7716916629.0,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1521.0,2036.0,979.0,220.0,-3104.0,716.0,1756.0,1651.0,2528.0,2043.0,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,1521.0,2036.0,979.0,,,716.0,1756.0,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,114725203968.0,142871510897.0,124414241047.0,85839979116.0,107364946373.0,102589151599.0,125672917602.0,120219302161.0,104635256168.0,84489930411.0,83166278589.0,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,23694943415.0,56897486363.0,46064377239.0,19732579052.0,7594822640.0,11397508916.0,28244079803.0,42631868287.0,33073577372.0,36296828335.0,54260378400.0,,,,,,,,,,
..Tiền__1,20694943415.0,39197486363.0,29964377239.0,13397079052.0,7594822640.0,11397508916.0,10794079803.0,12886868287.0,5838577372.0,7986828335.0,54260378400.0,,,,,,,,,,
..Các khoản tương đương tiền__1,3000000000.0,17700000000.0,16100000000.0,6335500000.0,,,17450000000.0,29745000000.0,27235000000.0,28310000000.0,,,,,,,,,,,
