field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2009]
. Doanh thu bán hàng và cung cấp dịch vụ__1,199819894808.0,189819059180.0,258538657958.0,121493536856.0,82818158776.0,97985284284.0,104058678211.0,138608728508.0,144662793774.0,138543378151.0,146291924146.0,121158367813.0,119853986322.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,120674610.0,269651012.0,1225010819.0,435375081.0,336812845.0,1020558737.0,305650549.0,386532152.0,207954965.0,177815512.0,470876421.0,21155388.0,730523925.0,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,199699220198.0,189549408168.0,257313647139.0,121058161775.0,82481345931.0,96964725547.0,103753027662.0,138222196356.0,144454838809.0,138365562639.0,145821047725.0,121137212425.0,119123462397.0,,,,,,,
. Giá vốn hàng bán__1,170221091827.0,165973275092.0,231173904876.0,95894270558.0,55742447703.0,64629247808.0,71191129841.0,95966813707.0,98418931117.0,96512233793.0,100374207655.0,79385556652.0,92404813483.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,29478128371.0,23576133076.0,26139742263.0,25163891217.0,26738898228.0,32335477739.0,32561897821.0,42255382649.0,46035907692.0,41853328846.0,45446840070.0,41751655773.0,26718648914.0,,,,,,,
. Doanh thu hoạt động tài chính__1,117646240.0,233021111.0,273959963.0,14601489.0,32547032.0,52263574.0,63599916.0,241107960.0,293140255.0,244571303.0,1358818839.0,1229524563.0,196001444.0,,,,,,,
. Chi phí tài chính__1,2435439570.0,2909632202.0,3380251234.0,1547536215.0,1409182570.0,709290481.0,1345615237.0,1788122391.0,1693757426.0,4431885947.0,2738793812.0,3285782250.0,6643813640.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,2148596835.0,2800927628.0,2866633902.0,1470925658.0,1246863012.0,507666924.0,1154755099.0,1537074383.0,1199859014.0,4365599091.0,1907839877.0,2827198481.0,5330456963.0,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,12273109029.0,10549970212.0,10244539357.0,9557611014.0,10056276575.0,10973701665.0,14586483074.0,19725391256.0,21616789173.0,18985562080.0,14546925004.0,12020892250.0,8949501902.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,11308053491.0,10903883439.0,13248584732.0,13303877260.0,13221069760.0,13644359725.0,11769166662.0,11799838748.0,11548242456.0,10043952200.0,14417270170.0,9480909016.0,6613137572.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,3579172521.0,-554331666.0,-459673097.0,769468217.0,2084916355.0,7060389442.0,4924232764.0,9183138214.0,11470258892.0,8636499922.0,15102669923.0,18193596820.0,4708197244.0,,,,,,,
. Thu nhập khác__1,481916173.0,883055004.0,996175757.0,342862276.0,251188109.0,27535502.0,99471305.0,412360562.0,154449655.0,1535472545.0,87262972.0,193206810.0,513883065.0,,,,,,,
. Chi phí khác__1,196202740.0,60700926.0,5444223.0,202258821.0,261564296.0,,16051153.0,34700000.0,887881178.0,10.0,,,29430140.0,,,,,,,
. Lợi nhuận khác__1,285713433.0,822354078.0,990731534.0,140603455.0,-10376187.0,27535502.0,83420152.0,377660562.0,-733431523.0,1535472535.0,87262972.0,193206810.0,484452925.0,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,3864885954.0,268022412.0,531058437.0,910071672.0,2074540168.0,7087924944.0,5007652916.0,9560798776.0,10736827369.0,10171972457.0,15189932895.0,18386803630.0,5192650169.0,,,,,,,
. Chi phí thuế TNDN hiện hành__1,715732971.0,252441737.0,508122140.0,272214928.0,953062919.0,1472577488.0,1151689895.0,2148519731.0,2234074046.0,1524769729.0,2174235922.0,1849725471.0,519265016.0,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,
