field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[2014],[2013],[2012]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,,,,,1071286893267.0,462880869726.0,216873252396.0,797288630297.0,441273427370.0,484851711039.0,233741850925.0,194848673885.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,6789171601.0,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,,,,,1064497721666.0,462880869726.0,216873252396.0,797288630297.0,441273427370.0,484851711039.0,233741850925.0,194848673885.0,,,,,,,,,,
. Giá vốn hàng bán__1,,,,,,951230642435.0,80064674875.0,98801991331.0,387397768393.0,185127329369.0,269005489253.0,146014166076.0,119891495328.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,,,,,113267079231.0,382816194851.0,118071261065.0,409890861904.0,256146098001.0,215846221786.0,87727684849.0,74957178557.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,,,,,2220785390.0,7497396140.0,21666827987.0,9372331501.0,8478723583.0,28868718182.0,13322736415.0,5005535256.0,,,,,,,,,,
. Chi phí tài chính__1,,,,,,12514378809.0,11600194199.0,22392405513.0,12733439652.0,-16516559349.0,37308129599.0,16861422.0,1110704464.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,11800471559.0,11300633192.0,7176388885.0,7963371635.0,-7421491152.0,1620030364.0,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,6852344675.0,4602902897.0,3512052531.0,13246085245.0,15819149414.0,5933011214.0,94548636.0,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,,,,,53583630492.0,126818843814.0,45459749317.0,44244272132.0,34807533615.0,24347467573.0,23839791355.0,11545023213.0,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,,,,,53262144828.0,275467935032.0,68373881691.0,349039396376.0,230514697904.0,177126331582.0,77099219851.0,67306986136.0,,,,,,,,,,
. Thu nhập khác__1,,,,,,4948739959.0,98505233806.0,2621817344.0,8814696409.0,6835001188.0,4216953328.0,30044510315.0,2418019843.0,,,,,,,,,,
. Chi phí khác__1,,,,,,18495403171.0,8933062435.0,9852801970.0,15658277808.0,5746906658.0,4636686889.0,10607619935.0,12448481185.0,,,,,,,,,,
. Lợi nhuận khác__1,,,,,,-13546663212.0,89572171371.0,-7230984626.0,-6843581399.0,1088094530.0,-419733561.0,19436890380.0,-10030461342.0,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,36125524516.0,29094234418.0,16254304228.0,6977162676.0,1093809091.0,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,,,,,39715481616.0,365040106403.0,97268421581.0,371290049395.0,247857096662.0,183683760697.0,97629919322.0,57276524794.0,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,,,9126937391.0,71835691546.0,18112175364.0,87333596958.0,41051010167.0,58243151697.0,28627161574.0,14768452910.0,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,-138990904.0,301045144.0,,,-223904161.0,-89568182.0,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,,,,,30727535129.0,292903369713.0,79156246217.0,283956452437.0,207029990656.0,125530177182.0,69002757748.0,42508071884.0,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,-3060016616.0,-1231888594.0,-327753414.0,115524776.0,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,,,,,30727535129.0,292903369713.0,82216262833.0,285188341031.0,207357744070.0,125414652406.0,69002757748.0,42508071884.0,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,,,,,345.0,3124.0,1138.0,4745.0,3822.0,2312.0,3095.0,7431.0,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,3124.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,10724634183.0,28176284951.0,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,,,,,,2486991060772.0,2999428598209.0,2626574925745.0,1929211587118.0,1679926519183.0,1895415099030.0,1031203144171.0,,,,,,,,2463589480470.0,2638892728318.0,2794951094443.0
. Tiền và các khoản tương đương tiền__1,,,,,,,153928335420.0,295341057104.0,179233801427.0,181332095526.0,49818187658.0,778766815372.0,46793917115.0,,,,,,,,87389499218.0,175032952714.0,337727926208.0
..Tiền__1,,,,,,,8397440120.0,6786057104.0,179233801427.0,177332095526.0,49818187658.0,778766815372.0,46793917115.0,,,,,,,,1021480019.0,10859572079.0,1628030908.0
..Các khoản tương đương tiền__1,,,,,,,145530895300.0,288555000000.0,,4000000000.0,,,,,,,,,,,86368019199.0,164173380635.0,336099895300.0
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,43500000000.0,1438433110.0,1149895300.0,1149895300.0,29000000000.0,,,,,,,,,,,58600000000.0,
.. Đầu tư ngắn hạn__1,,,,,,,,1438433110.0,1149895300.0,1149895300.0,29000000000.0,,,,,,,,,,,58600000000.0,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,,,,,,,89410402777.0,227242269122.0,321175839346.0,173130470213.0,315910242261.0,47926562618.0,36481368435.0,,,,,,,,248009574272.0,250940661216.0,209170354762.0
..Phải thu khách hàng__1,,,,,,,81430725898.0,196483799842.0,253273355195.0,103535131759.0,57147896613.0,31907299870.0,6209011944.0,,,,,,,,216403868291.0,220546988567.0,175510087315.0
..Trả trước cho người bán__1,,,,,,,4727154910.0,12584274032.0,48987757333.0,43393257729.0,22173553070.0,3314590100.0,2105200000.0,,,,,,,,8453642485.0,8657744439.0,9021191833.0
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,,,,,,7000676117.0,30948825618.0,28399338818.0,35084927725.0,247470080732.0,23154292461.0,31014939405.0,,,,,,,,32505230466.0,34384330100.0,37206953798.0
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,-3748154148.0,-12774630370.0,-9484612000.0,-8882847000.0,-10881288154.0,-10449619813.0,-2847782914.0,,,,,,,,-9353166970.0,-12648401890.0,-12567878184.0
. Hàng tồn kho__1,,,,,,,2195670541610.0,2462032498719.0,2106122115277.0,1554729335750.0,1259893363609.0,1043152155498.0,908700140673.0,,,,,,,,2119941989026.0,2147175124500.0,2244596030255.0
.. Hàng tồn kho__1,,,,,,,2195670541610.0,2462032498719.0,2106122115277.0,1554729335750.0,1259893363609.0,1043152155498.0,908700140673.0,,,,,,,,2119941989026.0,2147175124500.0,2244596030255.0
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,,,,,,4481780965.0,13374340154.0,18893274395.0,18869790329.0,25304725655.0,25569565542.0,39227717948.0,,,,,,,,8248417954.0,7143989888.0,3456783218.0
.. Chi phí trả trước ngắn hạn__1,,,,,,,,2874000.0,139626000.0,462502200.0,101637726.0,8928000.0,107060614.0,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,4481780965.0,2011268044.0,1912324395.0,1704906368.0,6122019062.0,3501422465.0,6452938289.0,,,,,,,,5093807411.0,4600993965.0,894580184.0
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,63583104.0,,,159435611.0,,,,,,,,,,2242518682.0,,
.. Tài sản ngắn hạn khác__1,,,,,,,,11296615006.0,16841324000.0,16702381761.0,18921633256.0,22059215077.0,32667719045.0,,,,,,,,912091861.0,2542995923.0,2562203034.0
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,,,,,,,875051825173.0,1294702364693.0,1217301643980.0,1095399372222.0,790348553275.0,580429003633.0,414666778095.0,,,,,,,,773466735637.0,800751084691.0,775556765659.0
. Các khoản phải thu dài hạn__1,,,,,,,109188605876.0,,,,,,8346648.0,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,87740748285.0,,,,,,8346648.0,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,21457073706.0,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,-7786000000.0,,,,,,,,,,,,,,,,
. Tài sản cố định__1,,,,,,,24528354287.0,1060468726018.0,1014207672390.0,916833714422.0,618651789734.0,440365499119.0,268161017702.0,,,,,,,,466974124806.0,523531086723.0,526324534027.0
.. Tài sản cố định hữu hình__1,,,,,,,24422595374.0,30510309222.0,36120065900.0,42298030455.0,43160611757.0,25390630434.0,24569191842.0,,,,,,,,27324733093.0,31429671504.0,23930166455.0
- Nguyên giá__1,,,,,,,76946629932.0,68256973040.0,67515586422.0,66814764879.0,61524426372.0,38789066830.0,34147636810.0,,,,,,,,76079411750.0,75816761698.0,65802270068.0
- Giá trị hao mòn luỹ kế__1,,,,,,,-52524034558.0,-37746663818.0,-31395520522.0,-24516734424.0,-18363814615.0,-13398436396.0,-9578444968.0,,,,,,,,-48754678657.0,-44387090194.0,-41872103613.0
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,,,,,105758913.0,541508758.0,241604797.0,375200910.0,292346858.0,138215933.0,182932745.0,,,,,,,,80527133.0,92193545.0,304460679.0
- Nguyên giá__3,,,,,,,1702748781.0,1632272376.0,1128272376.0,1020461376.0,799283376.0,507720151.0,507720151.0,,,,,,,,1645748781.0,1560403786.0,1658578376.0
- Giá trị hao mòn luỹ kế__3,,,,,,,-1596989868.0,-1090763618.0,-886667579.0,-645260466.0,-506936518.0,-369504218.0,-324787406.0,,,,,,,,-1565221648.0,-1468210241.0,-1354117697.0
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,1029416908038.0,977846001693.0,874160483057.0,575198831119.0,414836652752.0,243408893115.0,,,,,,,,439568864580.0,492009221674.0,502089906893.0
. Lợi thế thương mại__1,,,,,,,3425700558.0,,,,,,,,,,,,,,3806333954.0,,
. Bất động sản đầu tư__1,,,,,,,84913864301.0,103000194794.0,105697269083.0,109263785974.0,105964914732.0,103188176563.0,109401580759.0,,,,,,,,94400871519.0,97313281763.0,100176863242.0
- Nguyên giá__4,,,,,,,131865213616.0,149571726842.0,149271507549.0,146237227984.0,138406119271.0,131436245953.0,130391564105.0,,,,,,,,150001804114.0,149900363205.0,149753090478.0
- Giá trị hao mòn luỹ kế__4,,,,,,,-46951349315.0,-46571532048.0,-43574238466.0,-36973442010.0,-32441204539.0,-28248069390.0,-20989983346.0,,,,,,,,-55600932595.0,-52587081442.0,-49576227236.0
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,130834505506.0,96075179273.0,67087676591.0,65452280627.0,36875327951.0,37095832986.0,,,,,,,,207259780460.0,178952655940.0,148968281630.0
. Đầu tư vào công ty con__1,,,,,,,,,,,,500000000.0,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,210515935411.0,126353575506.0,91240819273.0,62146584855.0,45892280627.0,35915117951.0,28984708860.0,,,,,,,,205139650460.0,176919735940.0,146959841630.0
. Đầu tư dài hạn khác__1,,,,,,,,7054904214.0,7054904214.0,6587904214.0,52567108759.0,1896458759.0,9547372885.0,,,,,,,,3135455455.0,4025535894.0,4025535894.0
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,-1079891455.0,-2573974214.0,-2220544214.0,-1646812478.0,-33007108759.0,-1436248759.0,-1436248759.0,,,,,,,,-1015325455.0,-1992615894.0,-2017095894.0
. Tài sản dài hạn khác__1,,,,,,,3887311516.0,398938375.0,1321523234.0,2214195235.0,279568182.0,,,,,,,,,,1025624898.0,954060265.0,87086760.0
. Chi phí trả trước dài hạn__1,,,,,,,398186435.0,241729592.0,555970891.0,1458642892.0,190000000.0,,,,,,,,,,628229469.0,823790981.0,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,63424523.0,,313472343.0,313472343.0,89568182.0,,,,,,,,,,364469667.0,97343522.0,72586977.0
. Tài sản dài hạn khác__2,,,,,,,,157208783.0,452080000.0,442080000.0,,,,,,,,,,,32925762.0,32925762.0,14499783.0
Tổng cộng tài sản__1,,,,,,,3362042885945.0,4294130962902.0,3843876569725.0,3024610959340.0,2470275072458.0,2475844102663.0,1445869922266.0,,,,,,,,3237056216107.0,3439643813009.0,3570507860102.0
I - NỢ PHẢI TRẢ__1,,,,,,,1336864865893.0,2371215396325.0,1918708003603.0,1649561871948.0,1196835132765.0,1334888767771.0,1312315115765.0,,,,,,,,1466168515417.0,1600175908812.0,1686770409689.0
. Nợ ngắn hạn__1,,,,,,,415186955042.0,1183217676259.0,783567982082.0,638840162542.0,856191277681.0,983144936494.0,975922264891.0,,,,,,,,524592378397.0,746332718645.0,522847560232.0
.. Vay và nợ ngắn hạn__1,,,,,,,,386674675681.0,277611983553.0,202982799682.0,107650244500.0,60639786710.0,57344000000.0,,,,,,,,107009112858.0,332215172037.0,110347699779.0
.. Phải trả người bán__1,,,,,,,,93467300657.0,50436789031.0,30252915910.0,10330573586.0,9448217784.0,9607114054.0,,,,,,,,70325320787.0,75155180839.0,75401816507.0
.. Người mua trả tiền trước__1,,,,,,,,1400682992.0,53666358436.0,209502376997.0,593329949656.0,819654882701.0,812543623959.0,,,,,,,,102539000.0,116942969.0,646194001.0
..Thuế và các khoản phải nộp Nhà nước__1,,,,,,,37181039017.0,15816131912.0,63213581182.0,53653195219.0,30996691827.0,13277854959.0,6413296020.0,,,,,,,,2200273297.0,4572008250.0,61740893109.0
.. Phải trả người lao động__1,,,,,,,6833356656.0,156730919.0,854939255.0,3641599551.0,90323933.0,64234721.0,59157250.0,,,,,,,,11074846694.0,7472612397.0,9391623082.0
.. Chi phí phải trả__1,,,,,,,,152352888574.0,153956935508.0,118197783418.0,85145947444.0,73208104527.0,79134833846.0,,,,,,,,110511374510.0,134913551489.0,132224673618.0
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,531381038856.0,176162903276.0,20609491765.0,28647546735.0,6851855092.0,10820239762.0,,,,,,,,219477677391.0,186969664025.0,130250440496.0
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,,7664491841.0,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,,,,,,921677910851.0,1187997720066.0,1135140021521.0,1010721709406.0,340643855084.0,351743831277.0,336392850874.0,,,,,,,,941576137020.0,853843190167.0,1163922849457.0
.. Phải trả dài hạn người bán__1,,,,,,,50657500835.0,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,116800268955.0,39582056339.0,35721333797.0,730409194741.0,254768855132.0,245844536166.0,214731308720.0,,,,,,,,9798421793.0,9874388988.0,10212999361.0
.. Vay và nợ dài hạn__1,,,,,,,,415601129451.0,486224737165.0,279238068055.0,84694997619.0,105386605549.0,121235713902.0,,,,,,,,336511634050.0,182773915000.0,376128954778.0
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,2279904325.0,838582110.0,1074446610.0,1180002333.0,512689562.0,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,1178635333.0,,,,,,425828252.0,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,730534629951.0,612355368449.0,,,,,,,,,,,,595266081177.0,661194886179.0,777580895318.0
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,,,,,,,2025178020052.0,1733535652171.0,1732440945772.0,1189841649730.0,1078810481662.0,1066340319314.0,88858466060.0,,,,,,,,1770887700690.0,1753487712029.0,1796914918596.0
. Vốn chủ sở hữu__1,,,,,,,,1733524195028.0,1732429488629.0,1189208703209.0,1077974503803.0,1065933017037.0,87873893690.0,,,,,,,,1770887700690.0,1753476254886.0,1796903461453.0
.. Vốn đầu tư của chủ sở hữu__1,,,,,,,,722670000000.0,722670000000.0,542000000000.0,542000000000.0,542000000000.0,54000000000.0,,,,,,,,722670000000.0,722670000000.0,722670000000.0
.. Thặng dư vốn cổ phần__1,,,,,,,,610750058000.0,610750058000.0,430000000000.0,430000000000.0,430000000000.0,,,,,,,,,610750058000.0,610750058000.0,610750058000.0
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch tỷ giá hối đoái__1,,,,,,,,-2268654926.0,,,,,,,,,,,,,,,
.. Quỹ đầu tư phát triển__1,,,,,,,,136210275252.0,79710275252.0,38240275252.0,12885275252.0,9033275252.0,9033275252.0,,,,,,,,147097134354.0,142313571835.0,136210275252.0
.. Quỹ dự phòng tài chính__1,,,,,,,,73365408572.0,45115408572.0,24380408572.0,11703408572.0,7851408572.0,7851408572.0,,,,,,,,84252267674.0,79468705155.0,73365408572.0
