field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,140880096697.0,157973795642.0,184489509753.0,174307328448.0,156509314835.0,135219992133.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,140880096697.0,157973795642.0,184489509753.0,174307328448.0,156509314835.0,135219992133.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,125123186004.0,141987633090.0,167718910556.0,157293921048.0,140825175731.0,118690181510.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,15756910693.0,15986162552.0,16770599197.0,17013407400.0,15684139104.0,16529810623.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,320878594.0,154669089.0,629546063.0,407564397.0,262003366.0,58397470.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,8920562866.0,9566740837.0,3060876020.0,2376681220.0,1534741403.0,1925218242.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,8920562866.0,9566740837.0,3060876020.0,2376681220.0,1534741403.0,1925218242.0,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,12665270117.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,6973948072.0,8801425816.0,13284601223.0,13386794050.0,12246275960.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,183278349.0,-2227335012.0,1054668017.0,1657496527.0,2165125107.0,1997719734.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,801156.0,2693349091.0,1768577272.0,693636864.0,8952727.0,7771000.0,,,,,,,,,,,,,,,
. Chi phí khác__1,7112994.0,119861885.0,51647326.0,156527869.0,141153888.0,878116.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-6311838.0,2573487206.0,1716929946.0,537108995.0,-132201161.0,6892884.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,176966511.0,346152194.0,2771597963.0,2194605522.0,2032923946.0,2004612618.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,45931131.0,65273860.0,578349058.0,462329104.0,434492297.0,400922523.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,131035380.0,280878334.0,2193248905.0,1732276418.0,1598431649.0,1603690095.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,131035380.0,280878334.0,2193248905.0,1732276418.0,1598431649.0,1603690095.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,26.0,56.0,439.0,346.0,320.0,321.0,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,46985355152.0,65814847217.0,52708001257.0,49759110806.0,42084464674.0,41155655379.0,,,,,,,,,,,,,,,
