field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,,223693741227.0,,337269566169.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,,223693741227.0,,337269566169.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,,,208356976953.0,,317140834303.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,,15336764274.0,,20128731866.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,,1140428609.0,,808408163.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,,94596250.0,,290002909.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,94596250.0,,290002909.0,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,,12809627671.0,,20464216352.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,,3572968962.0,,182920768.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,,,10471244.0,,399288426.0,,,,,,,,,,,,,,,
. Chi phí khác__1,,,174882684.0,,9944556.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,,,-164411440.0,,389343870.0,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,,3408557522.0,,572264638.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,704737659.0,,105275091.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,,2703819863.0,,466989547.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,,2703819863.0,,466989547.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,,641.0,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,,221790358708.0,,253580801292.0,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,,,99161405723.0,,47000626906.0,,,,,,,,,,,,,,,
..Tiền__1,,,13066405723.0,,25405148848.0,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,86095000000.0,,21595478058.0,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,,,105635987557.0,,158448978340.0,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,,,91750362045.0,,146368014709.0,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,,,6327551821.0,,2112175536.0,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,,7558073691.0,,9968788095.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,,,13362504583.0,,47446787467.0,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,,,13362504583.0,,47446787467.0,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,,3630460845.0,,684408579.0,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,,3606666658.0,,452541237.0,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,23794187.0,,231867342.0,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,
