field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,197437931706.0,185016900497.0,148364718599.0,141909050855.0,81039545857.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,197437931706.0,185016900497.0,148364718599.0,141909050855.0,81039545857.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,160787236689.0,136579251160.0,111166173269.0,110508998473.0,64390331994.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,36650695017.0,48437649337.0,37198545330.0,31400052382.0,16649213863.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,6066705546.0,6854431109.0,8014288585.0,10980520851.0,1209705298.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,2666847505.0,2883424696.0,2095289991.0,3378793170.0,1467730225.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,2666847505.0,2883424696.0,2095289991.0,3378793170.0,1467730225.0,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,8754110853.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,12627086203.0,13156819425.0,10129207503.0,8203988672.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,27423466855.0,39251836325.0,32988336421.0,30797791391.0,7637078083.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,577117957.0,526007107.0,500000000.0,1018516045.0,39408477.0,,,,,,,,,,,,,,,
. Chi phí khác__1,545770699.0,1172452528.0,2100000.0,424938564.0,4009118.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,31347258.0,-646445421.0,497900000.0,593577481.0,35399359.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,27454814113.0,38605390904.0,33486236421.0,31391368872.0,7672477442.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,3600197391.0,4018872844.0,6697667285.0,6346655978.0,1535297312.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,23854616722.0,34586518060.0,26788569136.0,25044712894.0,6137180130.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,23854616722.0,34586518060.0,26788569136.0,25044712894.0,6137180130.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,628.0,915.0,707.0,663.0,163.0,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,167958835096.0,174241441193.0,174945096294.0,236741251615.0,249193838043.0,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,18501814486.0,23871721269.0,11911018307.0,30205680778.0,12996631989.0,,,,,,,,,,,,,,,
..Tiền__1,5398482715.0,5299428947.0,3911018307.0,1205680778.0,2937517551.0,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,13103331771.0,18572292322.0,8000000000.0,29000000000.0,10059114438.0,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,97076716015.0,99000000000.0,100000000000.0,150000000000.0,155000000000.0,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,97076716015.0,99000000000.0,100000000000.0,150000000000.0,155000000000.0,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,32320061648.0,30149365280.0,46431690963.0,36231089880.0,63855855657.0,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,20962096532.0,20398556163.0,25825626649.0,18782314499.0,16753836318.0,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,2587130615.0,4240869608.0,8618866000.0,7665178752.0,43218300000.0,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,1895795360.0,2203080160.0,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,8770834501.0,5509939509.0,11987198314.0,7887801269.0,1680639179.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,19043231671.0,17363762189.0,9914424783.0,14451748203.0,13089882572.0,,,,,,,,,,,,,,,
