field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,328406492988.0,318358790493.0,318712323651.0,277015545586.0,400058515724.0,246256324421.0,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,328406492988.0,318358790493.0,318712323651.0,277015545586.0,400058515724.0,246256324421.0,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,186404483401.0,186650371703.0,120767362990.0,112049247923.0,122900951284.0,102965494901.0,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,142002009587.0,131708418790.0,197944960661.0,164966297663.0,277157564440.0,143290829520.0,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1800320659.0,1304066092.0,780317326.0,8378833701.0,2907870212.0,987501381.0,,,,,,,,,,,,,,
. Chi phí tài chính__1,26502368674.0,42936368586.0,59729257373.0,64983884953.0,60675129580.0,55476798864.0,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,26501996341.0,42915955921.0,59729257373.0,60176472663.0,56421489728.0,48015918551.0,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,15554818660.0,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,15380951258.0,14677232829.0,15125065713.0,14630224348.0,14485521921.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,101919010314.0,75398883467.0,123870954901.0,93731022063.0,204904783151.0,73246713377.0,,,,,,,,,,,,,,
. Thu nhập khác__1,,3347188996.0,210909091.0,,2132971.0,4523453.0,,,,,,,,,,,,,,
. Chi phí khác__1,,2077305473.0,174774194.0,,31178109.0,94972125.0,,,,,,,,,,,,,,
. Lợi nhuận khác__1,,1269883523.0,36134897.0,,-29045138.0,-90448672.0,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,101919010314.0,76668766990.0,123907089798.0,93731022063.0,204875738013.0,73156264705.0,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,5194303754.0,4506872131.0,6309510851.0,4749352612.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,96724706560.0,72161894859.0,117597578947.0,88981669451.0,204875738013.0,73156264705.0,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,96724706560.0,72161894859.0,117597578947.0,88981669451.0,204875738013.0,73156264705.0,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1594.0,1275.0,2510.0,2285.0,5747.0,2171.0,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,1594.0,1275.0,2510.0,2285.0,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,288579539412.0,285533889535.0,295079001217.0,236803704684.0,301611278159.0,230961828205.0,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,80085025222.0,70404716146.0,59166017289.0,73492495581.0,104351520236.0,38883666315.0,,,,,,,,,,,,,,
..Tiền__1,2085025222.0,50404716146.0,5166017289.0,5054769554.0,12851520236.0,6883666315.0,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,78000000000.0,20000000000.0,54000000000.0,68437726027.0,91500000000.0,32000000000.0,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,200086687927.0,207137735584.0,221308394577.0,161985847650.0,189359494149.0,184288430621.0,,,,,,,,,,,,,,
..Phải thu khách hàng__1,105247532066.0,102724983411.0,109766650435.0,49093933113.0,99429881194.0,91209119123.0,,,,,,,,,,,,,,
..Trả trước cho người bán__1,125400000.0,101299000.0,6554867931.0,6135733181.0,8334421122.0,7070261731.0,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,94713755861.0,104311453173.0,104986876211.0,106259407162.0,81098417639.0,86009049767.0,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,496774194.0,496774194.0,,,,,,,,,,,,,,,
. Hàng tồn kho__1,7865541212.0,7602725105.0,14209911952.0,953318752.0,898687296.0,676125531.0,,,,,,,,,,,,,,
.. Hàng tồn kho__1,7865541212.0,7602725105.0,14209911952.0,953318752.0,898687296.0,676125531.0,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,542285051.0,388712700.0,394677399.0,372042701.0,7001576478.0,7113605738.0,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,542285051.0,388712700.0,394677399.0,372042701.0,404114958.0,516144218.0,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,6527257168.0,6527257168.0,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,70204352.0,70204352.0,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,1261576644523.0,1389356805342.0,1513380876516.0,1585166582652.0,1634371158987.0,1694255608662.0,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,53500000.0,53500000.0,53500000.0,53500000.0,53500000.0,53500000.0,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,53500000.0,53500000.0,53500000.0,53500000.0,53500000.0,53500000.0,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,1177403052303.0,1303288094126.0,1425816193298.0,1493596813056.0,1536639188682.0,1597890024449.0,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,1173767963538.0,1299700152153.0,1422213175893.0,1489978720219.0,1533006020413.0,1597241780748.0,,,,,,,,,,,,,,
- Nguyên giá__1,1835845875870.0,1833604813259.0,1828280824016.0,1827852634016.0,1802841934426.0,1799751140705.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-662077912332.0,-533904661106.0,-406067648123.0,-337873913797.0,-269835914013.0,-202509359957.0,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,3635088765.0,3587941973.0,3603017405.0,3618092837.0,3633168269.0,648243701.0,,,,,,,,,,,,,,
- Nguyên giá__3,3773470000.0,3693470000.0,3693470000.0,3693470000.0,3693470000.0,693470000.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-138381235.0,-105528027.0,-90452595.0,-75377163.0,-60301731.0,-45226299.0,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,2317669508.0,2317669508.0,2311469508.0,4885049500.0,11338296634.0,9109068570.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,2317669508.0,2317669508.0,2311469508.0,4885049500.0,11338296634.0,9109068570.0,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,81802422712.0,83697541708.0,85199713710.0,86631220096.0,86340173671.0,87203015643.0,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,81802422712.0,83697541708.0,85199713710.0,86631220096.0,86340173671.0,87203015643.0,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,1550156183935.0,1674890694877.0,1808459877733.0,1821970287336.0,1935982437146.0,1925217436867.0,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,729587825539.0,919546524367.0,1096461287046.0,1207393841754.0,1350715330635.0,1516194237035.0,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,178834014275.0,205604203103.0,242987955782.0,226770980490.0,239755669371.0,273095825771.0,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,1547831717.0,6643312378.0,18262373572.0,18781348657.0,35322641713.0,55065244704.0,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,14044825083.0,17666682710.0,13397869878.0,15886882815.0,18243925366.0,10097761442.0,,,,,,,,,,,,,,
.. Phải trả người lao động__1,4893276212.0,4151348021.0,2248406751.0,4010144599.0,6134598165.0,3069011806.0,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,9656375149.0,9921454805.0,20279088726.0,23226215990.0,23353409990.0,56950698608.0,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,4989512769.0,5528685796.0,20870906982.0,3350866873.0,5004737735.0,268982211.0,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,139405200000.0,157526460000.0,164684057142.0,158940007422.0,150551300000.0,147216400000.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",4296993345.0,4166259393.0,3245252731.0,2575514134.0,1145056402.0,427727000.0,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,550753811264.0,713942321264.0,853473331264.0,980622861264.0,1110959661264.0,1243098411264.0,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,550753811264.0,713942321264.0,853473331264.0,980622861264.0,1110959661264.0,1243098411264.0,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,820568358396.0,755344170510.0,711998590687.0,614576445582.0,585267106511.0,409023199832.0,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,820568358396.0,755344170510.0,711998590687.0,614576445582.0,585267106511.0,409023199832.0,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,630197230000.0,600189420000.0,529269180000.0,456267720000.0,380223820000.0,335000000000.0,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,630197230000.0,600189420000.0,529269180000.0,456267720000.0,380223820000.0,335000000000.0,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,10824284000.0,,,,,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,5254120.0,5254120.0,3424000.0,2044000.0,1180000.0,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,179541590276.0,155149496390.0,182725986687.0,158306681582.0,205042106511.0,74023199832.0,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,96724706560.0,72161894859.0,117597578947.0,88981669451.0,204875738013.0,73156264705.0,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,82816883716.0,82987601531.0,65128407740.0,69325012131.0,166368498.0,866935127.0,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,1550156183935.0,1674890694877.0,1808459877733.0,1821970287336.0,1935982437146.0,1925217436867.0,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán__1,,,,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước__1,,,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,
. Vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,
.. Vốn đầu tư của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,
.. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,
.. Quỹ đầu tư phát triển__1,,,,,,,,,,,,,,,,,,,,
.. Quỹ dự phòng tài chính__1,,,,,,,,,,,,,,,,,,,,
