field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,114040597.0,4276312228.0,7188739927.0,8764773719.0,16006076554.0,21709831118.0,27598632042.0,23240152127.0,20745677674.0,16707724029.0,55914269319.0,89988165235.0,78731871143.0,99316319613.0,62339950639.0,52147537773.0,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,5441800.0,64038200.0,702719840.0,1417735953.0,931200000.0,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,114040597.0,4276312228.0,7188739927.0,8764773719.0,16006076554.0,21709831118.0,27593190242.0,23176113927.0,20042957834.0,15289988076.0,54983069319.0,89988165235.0,78731871143.0,99316319613.0,62339950639.0,52147537773.0,,,,
. Giá vốn hàng bán__1,,2386640867.0,11498106745.0,9273374435.0,13884526976.0,19238235479.0,25640714996.0,21523425691.0,18418264762.0,14744411998.0,47600047472.0,82130694443.0,68444512470.0,89542601673.0,55808121057.0,44394113127.0,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,114040597.0,1889671361.0,-4309366818.0,-508600716.0,2121549578.0,2471595639.0,1952475246.0,1652688236.0,1624693072.0,545576078.0,7383021847.0,7857470792.0,10287358673.0,9773717940.0,6531829582.0,7753424646.0,,,,
. Doanh thu hoạt động tài chính__1,17181064072.0,18368616953.0,16056208905.0,5969410148.0,179059952.0,159619420.0,73633608.0,248854263.0,352732033.0,1009539574.0,1115388521.0,365064923.0,98509010.0,264905045.0,377739840.0,32546231.0,,,,
. Chi phí tài chính__1,958177.0,2939027520.0,288110036.0,,,,,27166667.0,76250500.0,640650504.0,813217866.0,581840584.0,791201748.0,570652590.0,489797325.0,698929598.0,,,,
- Trong đó: Chi phí lãi vay__1,958177.0,65597520.0,288110036.0,,,,,27166667.0,76250500.0,,813217866.0,581840584.0,767092598.0,570652590.0,489797325.0,698929598.0,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,83834442.0,318617535.0,445160377.0,577950331.0,639679006.0,662423078.0,793371870.0,468348069.0,259896290.0,386600405.0,216973908.0,446993696.0,534448682.0,311131992.0,281279892.0,,,,
. Chi phí quản lý doanh nghiệp__1,1063615119.0,1512304009.0,2088605703.0,2911882096.0,3450622631.0,3037307468.0,3448259912.0,2329724920.0,2409955225.0,10572474396.0,4376689145.0,3977117439.0,3494780454.0,2932523359.0,2853991564.0,3636986890.0,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,16230531373.0,15723122343.0,9051508813.0,2103766959.0,-1727963432.0,-1045771415.0,-2084574136.0,-1248720958.0,-977128689.0,-9917905538.0,2921902952.0,3446603784.0,5652891785.0,6000998354.0,3254648541.0,3168774497.0,,,,
. Thu nhập khác__1,10000000.0,288606945.0,63636364.0,37000000.0,1384207338.0,676171180.0,2819667368.0,48400000.0,705385453.0,,100000000.0,750000000.0,63000000.0,,1918997576.0,523259377.0,,,,
. Chi phí khác__1,7637246.0,58944278.0,3530030000.0,,171683661.0,,,4184443.0,2959855188.0,,,755700061.0,94815788.0,268451337.0,636278335.0,45659000.0,,,,
. Lợi nhuận khác__1,2362754.0,229662667.0,-3466393636.0,37000000.0,1212523677.0,676171180.0,2819667368.0,44215557.0,-2254469735.0,,100000000.0,-5700061.0,-31815788.0,-268451337.0,1282719241.0,477600377.0,,,,
. Tổng lợi nhuận kế toán trước thuế__1,16232894127.0,15952785010.0,5585115177.0,2140766959.0,-515439755.0,-369600235.0,735093232.0,-1204505401.0,-3231598424.0,-9917905538.0,3021902952.0,3440903723.0,5621075997.0,5732547017.0,4537367782.0,3646374874.0,,,,
. Chi phí thuế TNDN hiện hành__1,2273674392.0,2241642100.0,1072625959.0,,,,,,,,313985127.0,488208902.0,530019742.0,724266688.0,660662631.0,102098496.0,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,13959219735.0,13711142910.0,4512489218.0,2140766959.0,-515439755.0,-369600235.0,735093232.0,-1204505401.0,-3231598424.0,-9917905538.0,2707917825.0,2952694821.0,5091056255.0,5008280329.0,3876705151.0,3544276378.0,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,13959219735.0,13711142910.0,4512489218.0,2140766959.0,-515439755.0,-369600235.0,735093232.0,-1204505401.0,-3231598424.0,-9917905538.0,2707917825.0,2952694821.0,5091056255.0,5008280329.0,3876705151.0,3544276378.0,,,,
. Lãi cơ bản trên cổ phiếu__1,558.0,548.0,180.0,145.0,-147.0,-106.0,210.0,-344.0,-923.0,-2834.0,774.0,930.0,1697.0,1669.0,1367.0,1510.0,,,,
. Lãi suy giảm trên cổ phiếu__1,558.0,548.0,180.0,145.0,-147.0,-106.0,210.0,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,114499330255.0,234897308282.0,214895230977.0,233238562876.0,22817409868.0,22222190774.0,23438863788.0,22984019496.0,30946026444.0,34130132521.0,45511112210.0,57029216138.0,38111345507.0,44186508055.0,42968259429.0,36538912816.0,,,,
. Tiền và các khoản tương đương tiền__1,562514418.0,103414741243.0,813581995.0,6034015110.0,1527022290.0,2034925181.0,3611814433.0,2648718138.0,9076730496.0,8195317803.0,12617982511.0,16923208742.0,5565807904.0,6463740363.0,6116648224.0,2360903884.0,,,,
..Tiền__1,562514418.0,1264741243.0,813581995.0,6034015110.0,1527022290.0,2034925181.0,2550730963.0,1648718138.0,3576730496.0,3195317803.0,3317982511.0,5923208742.0,5565807904.0,6463740363.0,6116648224.0,2360903884.0,,,,
..Các khoản tương đương tiền__1,,102150000000.0,,,,,1061083470.0,1000000000.0,5500000000.0,5000000000.0,9300000000.0,11000000000.0,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,98383707024.0,128645751704.0,211533406954.0,214037371137.0,3942381018.0,2128503250.0,1000000000.0,,,,,,,,3500000000.0,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,98383707024.0,128645751704.0,211533406954.0,214037371137.0,3942381018.0,2128503250.0,1000000000.0,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,13598613863.0,2501448472.0,832408182.0,2892542146.0,2269510868.0,1676714739.0,1762613336.0,980151594.0,1940265880.0,5390138579.0,10113788746.0,11824224381.0,11364312626.0,10650761877.0,13576802462.0,16037729131.0,,,,
..Phải thu khách hàng__1,4865884870.0,4749461304.0,4838023393.0,4926106806.0,6279473995.0,6107329822.0,6261721929.0,6043125343.0,6978678963.0,7165193984.0,11170648017.0,14104001370.0,12752303468.0,11161770927.0,13577827953.0,16917178384.0,,,,
..Trả trước cho người bán__1,13240884977.0,130878700.0,186682800.0,41188800.0,704138800.0,,100000000.0,,,,5505000.0,36774240.0,32158540.0,333140750.0,1264610169.0,344457428.0,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,156800000.0,2286064452.0,472657973.0,2590202524.0,70854057.0,355698701.0,372754386.0,89620925.0,25237407.0,3678286265.0,1426152817.0,94599659.0,26074800.0,12464800.0,112143300.0,87896595.0,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-4664955984.0,-4664955984.0,-4664955984.0,-4664955984.0,-4784955984.0,-4786313784.0,-4971862979.0,-5152594674.0,-5063650490.0,-5453341670.0,-2488517088.0,-2411150888.0,-1446224182.0,-856614600.0,-1377778960.0,-1311803276.0,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,,,1560378395.0,10052839760.0,15069295692.0,16376947604.0,17019864072.0,19263325786.0,19584252113.0,20505600234.0,22694800832.0,27065578268.0,19550902513.0,23700816013.0,19093078125.0,14417062382.0,,,,
.. Hàng tồn kho__1,,,15839342099.0,15842760212.0,16317407571.0,16458038115.0,17100954583.0,19344416297.0,19731741024.0,20505600234.0,22694800832.0,27065578268.0,19550902513.0,23700816013.0,19093078125.0,14417062382.0,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,-14278963704.0,-5789920452.0,-1248111879.0,-81090511.0,-81090511.0,-81090511.0,-147488911.0,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,1954494950.0,335366863.0,155455451.0,221794723.0,9200000.0,5100000.0,44571947.0,91823978.0,344777955.0,39075905.0,84540121.0,1216204747.0,1630322464.0,3371189802.0,681730618.0,3723217419.0,,,,
.. Chi phí trả trước ngắn hạn__1,,,,1563340.0,9200000.0,5100000.0,44571947.0,34023978.0,77496818.0,21507905.0,70650121.0,160335000.0,246941240.0,399033217.0,353642593.0,251092857.0,,,,
.. Thuế GTGT được khấu trừ__1,1954494950.0,335366863.0,155455451.0,220231383.0,,,,,,,,6233453.0,994138724.0,956422218.0,178805525.0,102620562.0,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,,83473637.0,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,57800000.0,183807500.0,17568000.0,13890000.0,1049636294.0,389242500.0,2015734367.0,149282500.0,3369504000.0,,,,
