field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,320676358895.0,366041248405.0,983562748877.0,894498172807.0,819593486289.0,677381455405.0,602136084073.0,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,5411746485.0,7422023581.0,6750886406.0,5992032185.0,5583949509.0,5291116283.0,4482755795.0,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,315264612410.0,358619224824.0,976811862471.0,888506140622.0,814009536780.0,672090339122.0,597653328278.0,,,,,,,,,,,,,
. Giá vốn hàng bán__1,267492226990.0,295761410125.0,838508784987.0,763658786923.0,697091401658.0,559881743140.0,520563156740.0,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,47772385420.0,62857814699.0,138303077484.0,124847353699.0,116918135122.0,112208595982.0,77090171538.0,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1051084536.0,1106782088.0,5014312231.0,10452816112.0,16456462135.0,5410898522.0,6758406570.0,,,,,,,,,,,,,
. Chi phí tài chính__1,9525948994.0,7127895202.0,6383004899.0,4962605881.0,5177711438.0,3797052789.0,2244389534.0,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1845066987.0,3407121718.0,4232702732.0,3461651490.0,2833270443.0,2494433010.0,1657936944.0,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,2492985513.0,,,,,,,,,,,,,,
. Chi phí bán hàng__1,31635673001.0,46700103841.0,69134663238.0,60614870099.0,44328370482.0,41093565896.0,32332762071.0,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,32323111189.0,46752581696.0,52674096998.0,55585719799.0,53275719274.0,48721626671.0,36166357104.0,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-24661263228.0,-36615983952.0,15125624580.0,14136974032.0,30592796063.0,26500234661.0,13105069399.0,,,,,,,,,,,,,
. Thu nhập khác__1,1383786435.0,605697414.0,790652529.0,916069608.0,784842223.0,3164080149.0,11990821186.0,,,,,,,,,,,,,
. Chi phí khác__1,502177674.0,1105608102.0,195482920.0,166134988.0,576472779.0,893194938.0,1906814192.0,,,,,,,,,,,,,
. Lợi nhuận khác__1,881608761.0,-499910688.0,595169609.0,749934620.0,208369444.0,2270885211.0,10084006994.0,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,-23779654467.0,-37115894640.0,15720794189.0,14886908652.0,30801165507.0,28771119872.0,23189076393.0,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,3019654228.0,3004983382.0,6061135478.0,5876665299.0,4677249258.0,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,14753253.0,-1896778.0,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,-23779654467.0,-37115894640.0,12701139961.0,11881925270.0,24740030029.0,22879701320.0,18513723913.0,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,-23779654467.0,-37115894640.0,12701139961.0,11881925270.0,24740030029.0,22879701320.0,18513723913.0,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,-953.0,-1487.0,407.0,421.0,877.0,779.0,685.0,,,,,,,,,,,,,
