field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,38828353442.0,47250287336.0,41929889879.0,39412207890.0,38649556630.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,18181818.0,,,133287000.0,4706909.0,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,38810171624.0,47250287336.0,41929889879.0,39278920890.0,38644849721.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,,25744983087.0,31322738316.0,26575976884.0,24789712330.0,24930292242.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,13065188537.0,15927549020.0,15353912995.0,14489208560.0,13714557479.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,17870561.0,11837310.0,5448480.0,16606238.0,21854788.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,,6945498.0,35678049.0,,12802243.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,6945498.0,35678049.0,,12802243.0,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,1361395341.0,1219691478.0,2000341483.0,1685930555.0,1867241186.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,7576093013.0,7497012081.0,7416807505.0,7035747350.0,6330428493.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,4145570744.0,7215737273.0,5906534438.0,5784136893.0,5525940345.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,,76581813.0,10327266.0,32030907.0,117351266.0,258221817.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,,9750000.0,,27894576.0,22620000.0,9022500.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,,66831813.0,10327266.0,4136331.0,94731266.0,249199317.0,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,4212402557.0,7226064539.0,5910670769.0,5878868159.0,5775139662.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,589736358.0,1446602007.0,1193235879.0,1175773632.0,1155027932.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,3622666199.0,5779462532.0,4717434890.0,4703094527.0,4620111730.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,3622666199.0,5779462532.0,4717434890.0,4703094527.0,4620111730.0,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,829.0,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,21548040674.0,21798290013.0,16422557605.0,16120407771.0,15862342899.0,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,,12509002740.0,8869418608.0,4827762627.0,2648634799.0,6376777810.0,,,,,,,,,,,,,,,,
..Tiền__1,,12509002740.0,8869418608.0,4827762627.0,2648634799.0,6376777810.0,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,,8516456995.0,12294695407.0,8259399003.0,10376226909.0,7700831518.0,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,,7197135038.0,10413921069.0,7607181009.0,9952443557.0,7139632929.0,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,,71086590.0,615388000.0,,,69144000.0,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,1248235367.0,1265386338.0,652217994.0,443228352.0,503721589.0,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,-19445000.0,-11667000.0,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,,452339949.0,592463491.0,3269774470.0,3007849346.0,1689598367.0,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,,452339949.0,592463491.0,3269774470.0,3007849346.0,1689598367.0,,,,,,,,,,,,,,,,
