field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2013],[2012],[2011],[2010],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2014],[2009]
. Doanh thu bán hàng và cung cấp dịch vụ__1,821128882854.0,753300254928.0,612087330911.0,575127495547.0,629650770103.0,548242033861.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,994044150.0,145080000.0,4103272038.0,128294550.0,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,821128882854.0,753300254928.0,611093286761.0,574982415547.0,625547498065.0,548113739311.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,730304054227.0,652472828791.0,535360076605.0,497783810839.0,559370397260.0,489617950870.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,90824828627.0,100827426137.0,75733210156.0,77198604708.0,66177100805.0,58495788441.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,5325915529.0,4442829537.0,3051574912.0,3044982981.0,1530005095.0,2106368381.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,9816376120.0,10086262735.0,11288974390.0,16238399828.0,11341227585.0,11821239891.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,7863812776.0,9198484472.0,10816512860.0,9266835444.0,11026403647.0,11212197736.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,40478912898.0,30223139847.0,31771745193.0,26626729147.0,28456512941.0,23465193497.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,16033015435.0,15825546560.0,14188685602.0,12188281752.0,11003072795.0,11308785723.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,29822439703.0,49135306532.0,21535379883.0,25190176962.0,16906292579.0,14006937711.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,737086560.0,1939916727.0,1286432618.0,1417382057.0,2732851426.0,3740336967.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,371885473.0,914245618.0,559096324.0,698835406.0,1127232686.0,750195431.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,365201087.0,1025671109.0,727336294.0,718546651.0,1605618740.0,2990141536.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,30187640790.0,50160977641.0,22262716177.0,25908723613.0,18511911319.0,16997079247.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,1749983860.0,3090503147.0,1476802951.0,1793367832.0,42387482.0,101149665.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,-26498217.0,30556513.0,-76545259.0,,,,,,,,,,,,,,,,,,,
