field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,100901089645.0,108020964265.0,96869603345.0,131878921862.0,157196574444.0,212112370964.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,100901089645.0,108020964265.0,96869603345.0,131878921862.0,157196574444.0,212112370964.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,90613675035.0,94248434661.0,84424155878.0,111643215732.0,139291357726.0,181002272289.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,10287414610.0,13772529604.0,12445447467.0,20235706130.0,17905216718.0,31110098675.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,4641955047.0,317734057.0,34258684.0,421695415.0,400200548.0,1150324081.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,2957005774.0,2643474551.0,2562213425.0,3408002543.0,3979356507.0,2911721810.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,2916807502.0,2605957744.0,2495176236.0,3370492739.0,3976705129.0,2896783295.0,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,528761426.0,406858076.0,1269125827.0,5308921487.0,3854770986.0,2893212971.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,6291947931.0,7060692105.0,6069021095.0,7594218791.0,8468016704.0,15351536798.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,5151654526.0,3979238929.0,2579345804.0,4346258724.0,2003273069.0,11103951177.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,1052027320.0,2826445.0,682000.0,131818182.0,27346000.0,968538.0,,,,,,,,,,,,,,,
. Chi phí khác__1,639346889.0,490028832.0,519007654.0,438663536.0,432995243.0,89053762.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,412680431.0,-487202387.0,-518325654.0,-306845354.0,-405649243.0,-88085224.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,5564334957.0,3492036542.0,2061020150.0,4039413370.0,1597623826.0,11015865953.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,266513211.0,134197050.0,288221680.0,330731863.0,108178650.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,5297821746.0,3357839492.0,1772798470.0,3708681507.0,1489445176.0,11015865953.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,5297821746.0,3357839492.0,1772798470.0,3708681507.0,1489445176.0,11015865953.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,883.0,560.0,295.0,618.0,248.0,2368.0,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,164939047192.0,156837842450.0,161565263760.0,161294603098.0,176086494620.0,165979373169.0,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,2073613557.0,411826265.0,4852054645.0,5554536572.0,10393703400.0,1638459035.0,,,,,,,,,,,,,,,
..Tiền__1,2073613557.0,411826265.0,4852054645.0,5554536572.0,10393703400.0,1638459035.0,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,43261454147.0,51679691835.0,66797724463.0,72107051249.0,82296615049.0,88506365305.0,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,51602059948.0,60293168207.0,72219635258.0,78674255379.0,87827881545.0,94057971304.0,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,514313976.0,301835950.0,3118344945.0,1404144676.0,3099074189.0,1807137998.0,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,194105963.0,133713418.0,508770000.0,1077676934.0,418685055.0,1690281743.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-9049025740.0,-9049025740.0,-9049025740.0,-9049025740.0,-9049025740.0,-9049025740.0,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,119596953613.0,104736124853.0,89904144718.0,83603027493.0,83396176171.0,75598548829.0,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,119596953613.0,104736124853.0,89904144718.0,83603027493.0,83396176171.0,75598548829.0,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,7025875.0,10199497.0,11339934.0,29987784.0,,236000000.0,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,3021669.0,2449997.0,1363000.0,,,236000000.0,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,4004206.0,7749500.0,9976934.0,29987784.0,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,17649177844.0,19718796722.0,21616882161.0,21874232321.0,23578058575.0,24868217229.0,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,10107043745.0,11866928232.0,13634289389.0,14316094836.0,15809582649.0,16807764160.0,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,9919043745.0,11648928232.0,13386289389.0,14038094836.0,15809582649.0,16807764160.0,,,,,,,,,,,,,,,
- Nguyên giá__1,42618823902.0,43870632704.0,44569587250.0,43387769068.0,43910312277.0,43029354057.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-32699780157.0,-32221704472.0,-31183297861.0,-29349674232.0,-28100729628.0,-26221589897.0,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,188000000.0,218000000.0,248000000.0,278000000.0,,,,,,,,,,,,,,,,,
- Nguyên giá__3,2998068098.0,2998068098.0,2998068098.0,2998068098.0,2698068098.0,2698068098.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-2810068098.0,-2780068098.0,-2750068098.0,-2720068098.0,-2698068098.0,-2698068098.0,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,,,,,,,,,,,,,,,,,,,,
