field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,36732938182.0,72555435222.0,51150512725.0,20038945451.0,9576462672.0,15213446655.0,7148090907.0,7347168638.0,13980238281.0,28577869089.0,34639926393.0,44504582108.0,52999150745.0,185413612514.0,77088623269.0,17273643115.0,27932050955.0,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,590909091.0,4035017.0,,,736056956.0,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,36732938182.0,72555435222.0,51150512725.0,20038945451.0,9576462672.0,15213446655.0,7148090907.0,7347168638.0,13980238281.0,27986959998.0,34635891376.0,44504582108.0,52999150745.0,184677555558.0,77088623269.0,17273643115.0,27932050955.0,,,
. Giá vốn hàng bán__1,39606411325.0,68498261007.0,47197404426.0,16593493503.0,9301737513.0,12713041850.0,6563566700.0,6555238000.0,14505994744.0,23600115746.0,30946274435.0,41021163335.0,46344816263.0,167867458268.0,76168322007.0,15036815666.0,24323979087.0,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,-2873473143.0,4057174215.0,3953108299.0,3445451948.0,274725159.0,2500404805.0,584524207.0,791930638.0,-525756463.0,4386844252.0,3689616941.0,3483418773.0,6654334482.0,16810097290.0,920301262.0,2236827449.0,3608071868.0,,,
. Doanh thu hoạt động tài chính__1,9889044247.0,3714735132.0,3394694206.0,2048098261.0,8187902829.0,3899227329.0,4556104006.0,5448073012.0,3597724037.0,8274736685.0,3891966836.0,20525580815.0,3475937185.0,2930385267.0,18853645873.0,4354118096.0,110303293.0,,,
. Chi phí tài chính__1,92119435.0,3852850785.0,4205247263.0,3559173300.0,3449280565.0,2652998887.0,1979512258.0,1504857560.0,-304920678.0,9475109770.0,9791457656.0,12364933634.0,4709370063.0,38553670058.0,3709549845.0,1322768924.0,860099554.0,,,
- Trong đó: Chi phí lãi vay__1,3457153252.0,3649310240.0,3152168879.0,2854596926.0,2655849871.0,2562646787.0,2124707309.0,325665873.0,271380051.0,111749884.0,429817042.0,643123083.0,1578604132.0,8737238372.0,2436975617.0,1026116424.0,854702660.0,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,468749488.0,334108658.0,214644413.0,248443316.0,48016364.0,16795715.0,80688219.0,136519264.0,121064179.0,168608804.0,131884419.0,441032849.0,621566137.0,1919615390.0,387984505.0,881593142.0,821499528.0,,,
