field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,472312468762.0,357302598786.0,763774109001.0,282522138897.0,241429696379.0,412353405317.0,278456270509.0,295981724770.0,239512257139.0,296125805173.0,252740749511.0,220954166588.0,211791718744.0,265048259331.0,253030508380.0,139711820488.0,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,202686887.0,1417354879.0,393438249.0,1446622144.0,1384481818.0,3622989590.0,173377272.0,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,472312468762.0,357302598786.0,763774109001.0,282522138897.0,241429696379.0,412150718430.0,277038915630.0,295588286521.0,238065634995.0,294741323355.0,249117759921.0,220780789316.0,211791718744.0,265048259331.0,253030508380.0,139711820488.0,,,,,,
. Giá vốn hàng bán__1,161244903983.0,103649576168.0,288944990463.0,194081011999.0,163894079314.0,320146605291.0,186791572528.0,195572766342.0,140221611830.0,221139005532.0,178017007245.0,150855589638.0,145505052547.0,170544030976.0,169022780252.0,74935205857.0,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,311067564779.0,253653022618.0,474829118538.0,88441126898.0,77535617065.0,92004113139.0,90247343102.0,100015520179.0,97844023165.0,73602317823.0,71100752676.0,69925199678.0,66286666197.0,94504228355.0,84007728128.0,64776614631.0,,,,,,
. Doanh thu hoạt động tài chính__1,43525000463.0,141981945630.0,50756455977.0,56982770565.0,49341315837.0,18476113178.0,24316226116.0,16504069942.0,9464850337.0,12597010107.0,23824593047.0,28601910843.0,16835373319.0,25125994785.0,2688623363.0,6285277365.0,,,,,,
. Chi phí tài chính__1,-670659197.0,-803862255.0,-109102661.0,-7251113481.0,-247660721.0,-852078661.0,-37032118.0,223727591.0,5522866645.0,4518189865.0,1188546682.0,1200990000.0,464000000.0,721565434.0,463245215.0,1361795698.0,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,40200557.0,170567533.0,223727591.0,529123886.0,386631372.0,1188546682.0,1200990000.0,464000000.0,,457456000.0,1361795698.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,-289514828.0,390912252.0,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,2659556890.0,3090184453.0,2187598324.0,,,,,,,14037773235.0,,,,,,
. Chi phí quản lý doanh nghiệp__1,52486330408.0,51024898167.0,57169119118.0,32909639974.0,33038209900.0,42394490687.0,49152963106.0,39796271308.0,33654664757.0,26475533780.0,30387553570.0,20264786758.0,24795999239.0,18163450132.0,18275046545.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,302776894031.0,345413932336.0,468525558058.0,119765370970.0,94086383723.0,68648299463.0,63178993592.0,73409406769.0,65943743776.0,55205604285.0,63349245471.0,77061333763.0,57862040277.0,100745207574.0,67958059731.0,55662323063.0,,,,,,
. Thu nhập khác__1,774778264.0,738731098.0,493292515.0,528535167.0,410408770.0,2676014450.0,10641667998.0,395100341.0,3188948928.0,4805799878.0,628223430.0,63359429890.0,1780509143.0,674903470.0,1714629762.0,245353790.0,,,,,,
. Chi phí khác__1,179936386.0,8815307888.0,21210000.0,1957904644.0,305616847.0,1009341804.0,4235503718.0,2594925767.0,4356985559.0,610101234.0,615749842.0,2414175859.0,1056340026.0,28534350395.0,111339037.0,1252099902.0,,,,,,
. Lợi nhuận khác__1,594841878.0,-8076576790.0,472082515.0,-1429369477.0,104791923.0,1666672646.0,6406164280.0,-2199825426.0,-1168036631.0,4195698644.0,12473588.0,60945254031.0,724169117.0,-27859446925.0,1603290725.0,-1006746112.0,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,303371735909.0,337337355546.0,468997640573.0,118336001493.0,94191175646.0,70314972109.0,69585157872.0,71099065331.0,61745136832.0,56213858561.0,57571609918.0,135016408220.0,62231543739.0,72322498743.0,70076993110.0,54655576951.0,,,,,,
. Chi phí thuế TNDN hiện hành__1,50227246500.0,66529541431.0,113711133411.0,23975005421.0,18851586383.0,14542296667.0,15547315666.0,14512394992.0,15618072337.0,11709411404.0,14668416838.0,33511833478.0,8790915563.0,21289836514.0,840417439.0,1414549154.0,,,,,,
. Chi phí thuế TNDN hoãn lại__1,10429881468.0,2680927274.0,-19905438847.0,,,-863149289.0,,,799007373.0,3452662414.0,,72500000.0,-522500000.0,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,242714607941.0,268126886841.0,375191946009.0,94360996072.0,75339589263.0,56635824731.0,54037842206.0,56586670339.0,45328057122.0,41051784743.0,42903193080.0,101432074742.0,53963128176.0,51032662229.0,69236575671.0,53241027797.0,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,1021329029.0,-661642536.0,-711567412.0,579389372.0,1795046862.0,2622059518.0,3047820186.0,2538484040.0,1600556786.0,2496809000.0,3859810139.0,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,242714607941.0,268126886841.0,375191946009.0,94360996072.0,75339589263.0,55614495702.0,54699484742.0,57298237751.0,44748667750.0,39256737881.0,40281133562.0,98384254556.0,51424644136.0,49432105443.0,66739766671.0,49381217658.0,,,,,,
