field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,270645387098.0,195429767286.0,177544279628.0,140217158714.0,138982936185.0,128916454338.0,132937482467.0,123079019451.0,128692520967.0,117602507961.0,92703511709.0,77428266853.0,75402181960.0,80672055060.0,,,,,,
. Các khoản giảm trừ doanh thu__1,9014021961.0,4083294734.0,5593532154.0,3924990921.0,5496384712.0,2903138912.0,2505133956.0,2586277477.0,3889649605.0,4240070486.0,4925552719.0,2424719701.0,1584423930.0,1098017413.0,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,261631365137.0,191346472552.0,171950747474.0,136292167793.0,133486551473.0,126013315426.0,130432348511.0,120492741974.0,124802871362.0,113362437475.0,87777958990.0,75003547152.0,73817758030.0,79574037647.0,,,,,,
. Giá vốn hàng bán__1,199384834127.0,137542075499.0,117492886282.0,95846422919.0,89364583811.0,83886067617.0,95640601274.0,87411810318.0,88046195507.0,81368669960.0,61549382718.0,54034136561.0,55416907378.0,61718155547.0,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,62246531010.0,53804397053.0,54457861192.0,40445744874.0,44121967662.0,42127247809.0,34791747237.0,33080931656.0,36756675855.0,31993767515.0,26228576272.0,20969410591.0,18400850652.0,17855882100.0,,,,,,
. Doanh thu hoạt động tài chính__1,2852075977.0,2203314153.0,1970207196.0,1613276000.0,1077075927.0,619573661.0,847445106.0,2809039907.0,3342849627.0,1893746966.0,1980345332.0,720657850.0,813624244.0,605061829.0,,,,,,
. Chi phí tài chính__1,544293156.0,1033765494.0,3021562214.0,52235341.0,6791081141.0,1447734867.0,-119137412.0,3462037281.0,5203517947.0,1752060083.0,3502975390.0,1470697268.0,181811544.0,1560481062.0,,,,,,
- Trong đó: Chi phí lãi vay__1,137565704.0,469799789.0,750567726.0,399575905.0,516795052.0,570834464.0,519137698.0,2126854223.0,2721034807.0,1230567500.0,1165669637.0,568257043.0,147117111.0,197055555.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,30070012842.0,24002578486.0,19292016060.0,14410664571.0,13556895904.0,12023472818.0,8673676100.0,8024504983.0,9173567706.0,7373981768.0,5539471400.0,3920892238.0,3659538649.0,2912248487.0,,,,,,
. Chi phí quản lý doanh nghiệp__1,15957867033.0,14924933593.0,17216614078.0,13007858529.0,12888792626.0,12294570920.0,10258903719.0,9136611735.0,9380165134.0,7856506004.0,6534499995.0,4553468340.0,4850026635.0,3916416873.0,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,18526433956.0,16046433633.0,16897876036.0,14588262433.0,11962273918.0,16981042865.0,16825749936.0,15266817564.0,16342274695.0,16904966626.0,12631974819.0,11745010595.0,10523098068.0,10071797507.0,,,,,,
