field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2004],[2003],[2002],[2001],[2005]
. Doanh thu bán hàng và cung cấp dịch vụ__1,691624639904.0,12337366562.0,117452173942.0,247973443976.0,246601545770.0,194478943098.0,112778022295.0,41024863876.0,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,106760809.0,,,,18737942.0,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,691624639904.0,12337366562.0,117452173942.0,247866683167.0,246601545770.0,194478943098.0,112778022295.0,41006125934.0,,,,,,,,,,,,,
. Giá vốn hàng bán__1,621099746309.0,33602254116.0,103032176358.0,210153844124.0,194753707249.0,125003006713.0,89232009370.0,33513261387.0,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,70524893595.0,-21264887554.0,14419997584.0,37712839043.0,51847838521.0,69475936385.0,23546012925.0,7492864547.0,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,915259715.0,10000220729.0,1383038.0,23048288.0,7484674.0,21025903.0,4920247.0,5680841.0,,,,,,,,,,,,,
. Chi phí tài chính__1,19514842696.0,21746489838.0,23485605972.0,24968001668.0,25590211628.0,26436055596.0,11044254088.0,3773160948.0,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,19514842696.0,21746489838.0,23427798773.0,24894668336.0,25507731354.0,26377166807.0,11044254088.0,3773160948.0,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,292622259.0,730914244.0,809963047.0,1123935224.0,913644763.0,513157450.0,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,987559439.0,2387109329.0,3898040649.0,3833534789.0,4159283350.0,4233887456.0,4088877213.0,2963890828.0,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,50937751175.0,-35398265992.0,-13254888258.0,8203436630.0,21295865170.0,37703084012.0,7504157108.0,248336162.0,,,,,,,,,,,,,
. Thu nhập khác__1,351115256.0,5470995735.0,24794098142.0,3886674313.0,13496403347.0,1706431241.0,227817775.0,4653712545.0,,,,,,,,,,,,,
. Chi phí khác__1,4638387825.0,1355569986.0,9947831944.0,506761563.0,584808623.0,2352711404.0,46535634.0,2952502869.0,,,,,,,,,,,,,
. Lợi nhuận khác__1,-4287272569.0,4115425749.0,14846266198.0,3379912750.0,12911594724.0,-646280163.0,181282141.0,1701209676.0,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,46650478606.0,-31282840243.0,1591377940.0,11583349380.0,34207459894.0,37056803849.0,7685439249.0,1949545838.0,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,9334800709.0,,972713074.0,2545898386.0,6964173204.0,7392035508.0,1705948591.0,9201463.0,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,2333494162.0,1854434271.0,9394991.0,33069384.0,-18336052.0,-12577384.0,-11268017.0,-13745483.0,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,34982183735.0,-33137274514.0,609269875.0,9004381610.0,27261622742.0,29677345725.0,5990758675.0,1954089858.0,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,34982183735.0,-33137274514.0,609269875.0,9004381610.0,27261622742.0,29677345725.0,5990758675.0,1954089858.0,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,756.0,-969.0,18.0,263.0,797.0,1077.0,5255.0,1949.0,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,714.0,1077.0,5255.0,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,203463615053.0,10601514265.0,28725069174.0,97964783149.0,106156018309.0,55155403001.0,41162617971.0,57784810461.0,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,7056016636.0,2197731649.0,3761057269.0,3709855016.0,9868000942.0,2879171352.0,1708884533.0,875168547.0,,,,,,,,,,,,,
..Tiền__1,7056016636.0,2197731649.0,3761057269.0,3709855016.0,1268793140.0,2879171352.0,1708884533.0,875168547.0,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,8599207802.0,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,250000000.0,300000000.0,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,250000000.0,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,183458774524.0,5539297357.0,24536724808.0,61859108817.0,85775972616.0,39086810915.0,16986551168.0,4775612007.0,,,,,,,,,,,,,
..Phải thu khách hàng__1,183414911238.0,619049360.0,9173724808.0,34968247003.0,24625143950.0,26514447795.0,12919378163.0,3240638216.0,,,,,,,,,,,,,
..Trả trước cho người bán__1,43863286.0,4920247997.0,15300000000.0,26107749000.0,28450000000.0,3538000.0,317710000.0,1416396764.0,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,,63000000.0,783112814.0,32700828666.0,12568825120.0,3749463005.0,118577027.0,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,97916246.0,204145876.0,377130660.0,32037528809.0,10263608514.0,5891004810.0,14586522325.0,23818312206.0,,,,,,,,,,,,,
.. Hàng tồn kho__1,97916246.0,204145876.0,377130660.0,32037528809.0,10263608514.0,5891004810.0,14586522325.0,23818312206.0,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,12850907647.0,2660339383.0,50156437.0,358290507.0,248436237.0,7298415924.0,7630659945.0,28015717701.0,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,139610146.0,381995473.0,49553913.0,306570520.0,86466375.0,575059746.0,219491441.0,512588720.0,,,,,,,,,,,,,
