field,[2021],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1998],[2020],[2019],[2018],[2017]
. Doanh thu bán hàng và cung cấp dịch vụ__1,42177786119.0,22320876746.0,38153519976.0,,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,42177786119.0,22320876746.0,38153519976.0,,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,34677939089.0,17142690063.0,33069700884.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,7499847030.0,5178186683.0,5083819092.0,,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,497923926.0,27729507.0,50748817.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,300531332.0,2408333.0,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,2408333.0,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,7478841383.0,4122206365.0,4539483874.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,518929573.0,783178493.0,592675702.0,,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,109011285.0,17933942.0,26444629.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,409146.0,91808807.0,27627159.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,108602139.0,-73874865.0,-1182530.0,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,627531712.0,709303628.0,591493172.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,94351720.0,158431561.0,130657578.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,533179992.0,550872067.0,460835594.0,,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,533179992.0,550872067.0,460835594.0,,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,148.0,153.0,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
