field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2004],[2003],[2002],[2001],[2000],[1999],[1998],[2005]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1306517756544.0,887155065942.0,,,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1306517756544.0,887155065942.0,,,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,1172990106171.0,785523537217.0,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,133527650373.0,101631528725.0,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,3974553074.0,2776087294.0,,,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,79227557170.0,60567913332.0,,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,79088392239.0,60234851595.0,,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,35180108.0,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,26857195218.0,18973630864.0,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,31382270951.0,24866071823.0,,,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,2000190441.0,4382874179.0,,,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,1059133795.0,229529328.0,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,941056646.0,4153344851.0,,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,32323327597.0,29019416674.0,,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,6462957890.0,5808152799.0,,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,744065402.0,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,25116304305.0,23211263875.0,,,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,-37056884.0,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,25153361189.0,23211263875.0,,,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,629.0,580.0,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,1484532934081.0,1189884882669.0,,,,,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,99510064218.0,26806701203.0,,,,,,,,,,,,,,,,,,,,,,
..Tiền__1,99510064218.0,26806701203.0,,,,,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,850122595192.0,775493550423.0,,,,,,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,804162598042.0,691335678306.0,,,,,,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,35575769955.0,72090640413.0,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,10384227195.0,12067231704.0,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,488324798037.0,365025774008.0,,,,,,,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,488324798037.0,365025774008.0,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,46575476634.0,22558857035.0,,,,,,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,1803785320.0,705677099.0,,,,,,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,44771691314.0,21853179936.0,,,,,,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,
