field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,173996447169.0,173434545504.0,146597480072.0,182251511308.0,186714406135.0,233747084346.0,222739073581.0,268508308756.0,239716172943.0,320062623601.0,251988027487.0,209639398569.0,145942807889.0,106296430327.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,173996447169.0,173434545504.0,146597480072.0,182251511308.0,186714406135.0,233747084346.0,222739073581.0,268508308756.0,239716172943.0,320062623601.0,251988027487.0,209639398569.0,145942807889.0,106296430327.0,,,,,,,
. Giá vốn hàng bán__1,166756302522.0,165748626630.0,136387476673.0,169509873523.0,171639569513.0,218289448554.0,206360184376.0,253879443294.0,226327596180.0,291330551076.0,220971636025.0,186615956908.0,130476668312.0,99670786374.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,7240144647.0,7685918874.0,10210003399.0,12741637785.0,15074836622.0,15457635792.0,16378889205.0,14628865462.0,13388576763.0,28732072525.0,31016391462.0,23023441661.0,15466139577.0,6625643953.0,,,,,,,
. Doanh thu hoạt động tài chính__1,458490267.0,52289320.0,41216395.0,1343317359.0,2142773152.0,672218168.0,99545400.0,45112708.0,294272030.0,506550664.0,265463820.0,168697839.0,448177403.0,5305233037.0,,,,,,,
. Chi phí tài chính__1,882364494.0,243132560.0,535005487.0,1822998474.0,3058321992.0,400537967.0,1670073279.0,1378417097.0,1801930457.0,1330377106.0,2170002879.0,332465142.0,,1962574720.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,882364494.0,243132560.0,535005487.0,1822998474.0,3058321992.0,400537967.0,1670073279.0,1378417097.0,1801930457.0,1330377106.0,2170002879.0,332465142.0,,1962574720.0,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,61933700.0,93605780.0,203064339.0,225273419.0,171302448.0,163275706.0,194623725.0,178692545.0,234550193.0,296823507.0,315679915.0,350725675.0,195436107.0,187835745.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,5332149164.0,6409935808.0,7248460296.0,9727947387.0,10850685893.0,11246105386.0,10337035937.0,9463466670.0,9406257961.0,10935663381.0,11032928843.0,8797335960.0,6322566783.0,5809626461.0,,,,,,,
