field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,826505825928.0,855719350349.0,788843360692.0,758375541150.0,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,521637747.0,333407242.0,76692354.0,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,826505825928.0,855197712602.0,788509953450.0,758298848796.0,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,732045963980.0,751665367004.0,686593552637.0,667881058204.0,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,94459861948.0,103532345598.0,101916400813.0,90417790592.0,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,2075088648.0,5559532055.0,6047254638.0,4910546699.0,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,7495621.0,174375.0,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,11614550251.0,27607551192.0,8392074958.0,12267559489.0,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,23813315798.0,24670783761.0,44706900308.0,33366618924.0,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,61099588926.0,56813368325.0,54864680185.0,49694158878.0,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,2615153651.0,2308682195.0,335484231.0,872923596.0,,,,,,,,,,,,,,,,,
. Chi phí khác__1,243179451.0,371480719.0,1090776574.0,364913571.0,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,2371974200.0,1937201476.0,-755292343.0,508010025.0,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,63471563126.0,58750569801.0,54109387842.0,50202168903.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,12867462492.0,11907693927.0,10965376329.0,10060433781.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,50604100634.0,46842875874.0,43144011513.0,40141735122.0,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,50604100634.0,46842875874.0,43144011513.0,40141735122.0,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,2698.0,2500.0,2040.0,1981.0,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,2698.0,2500.0,2040.0,1981.0,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,268332803152.0,376358211059.0,337734911787.0,284314129449.0,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,12796529585.0,120007876783.0,180757951627.0,40411680859.0,,,,,,,,,,,,,,,,,
..Tiền__1,12796529585.0,15007876783.0,30757951627.0,35411680859.0,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,105000000000.0,150000000000.0,5000000000.0,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,91860648469.0,113957681909.0,31355145753.0,94851897083.0,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,84471419267.0,107709042041.0,28917915992.0,94466507127.0,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,4265815570.0,6034281011.0,4549773060.0,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,5610769164.0,2701714389.0,439457539.0,789339051.0,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-2487355532.0,-2487355532.0,-2552000838.0,-403949095.0,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,156862588638.0,132056857794.0,122447345497.0,145658848880.0,,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,156862588638.0,137055281723.0,132701309762.0,145658848880.0,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,-4998423929.0,-10253964265.0,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,6813036460.0,10335794573.0,3174468910.0,3391702627.0,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,1679691874.0,4795398383.0,,23519998.0,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,5132713193.0,5540396190.0,3166228414.0,3368182629.0,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,631393.0,,8240496.0,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,203789567197.0,172110773543.0,91860735500.0,123680871240.0,,,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,5400000000.0,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
