field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,38509307722.0,32617288469.0,42644409057.0,213395113553.0,63497429498.0,42377304825.0,35755510766.0,33890412816.0,30968135972.0,26457043008.0,28606379402.0,25422333460.0,26779457495.0,24420401212.0,22698898465.0,19521289077.0,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,39291230.0,51357593.0,,64874000.0,,90984300.0,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,38509307722.0,32617288469.0,42644409057.0,213395113553.0,63497429498.0,42377304825.0,35716219536.0,33839055223.0,30968135972.0,26392169008.0,28606379402.0,25331349160.0,26779457495.0,24420401212.0,22698898465.0,19521289077.0,,,,,
. Giá vốn hàng bán__1,37117965852.0,30202473415.0,44100087626.0,196384239300.0,59616541563.0,33720587369.0,32638841191.0,31442768513.0,28348761901.0,23974864600.0,25751003587.0,22371736160.0,23634621469.0,21597318379.0,19651877359.0,17666319085.0,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,1391341870.0,2414815054.0,-1455678569.0,17010874253.0,3880887935.0,8656717456.0,3077378345.0,2396286710.0,2619374071.0,2417304408.0,2855375815.0,2959613000.0,3144836026.0,2823082833.0,3047021106.0,1854969992.0,,,,,
. Doanh thu hoạt động tài chính__1,58058119373.0,5741191470.0,4253220915.0,14546543753.0,2203731821.0,1035228486.0,477135177.0,166735396.0,172599477.0,66051500.0,32277600.0,111407467.0,386729936.0,730676260.0,444084425.0,283740993.0,,,,,
. Chi phí tài chính__1,1654510759.0,2903531628.0,1114323860.0,8254868208.0,2309630266.0,615283729.0,,,61333333.0,17236110.0,25979167.0,22116900.0,126774126.0,82506312.0,36103656.0,165267001.0,,,,,
- Trong đó: Chi phí lãi vay__1,237737549.0,1239407484.0,1075468381.0,8246918024.0,20332147620.0,266427271.0,,,61333333.0,17236110.0,25979167.0,20500000.0,108183889.0,,3152500.0,56029507.0,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,98614897.0,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,448676538.0,459513401.0,656659370.0,1336634975.0,1485347568.0,1483311855.0,1545399436.0,1468094771.0,1500763480.0,1550647130.0,1485425900.0,1476688771.0,1095123947.0,1108504731.0,1039807342.0,762315452.0,,,,,
. Chi phí quản lý doanh nghiệp__1,2775289473.0,1017538242.0,6284896321.0,2935902899.0,3847926653.0,6321179751.0,1734554844.0,1046675850.0,987755073.0,978548967.0,884801861.0,929161594.0,1075810113.0,1048858975.0,1214069968.0,589026590.0,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,54570984473.0,3874038150.0,-5258337205.0,19030011924.0,-1558284731.0,1272170607.0,274559242.0,48251485.0,242121662.0,-63076299.0,491446487.0,643053202.0,1233857776.0,1313889075.0,1201124565.0,622101942.0,,,,,
. Thu nhập khác__1,67498593.0,10000999.0,27791978.0,70541635.0,1869768532.0,22062345.0,749868744.0,160436661.0,52372225.0,125404064.0,122756298.0,92277171.0,120523335.0,80748270.0,110797054.0,31787000.0,,,,,
. Chi phí khác__1,227646813.0,147451051.0,1177602755.0,11699583222.0,11668779594.0,21249146.0,23346510.0,,2927.0,46392512.0,97078380.0,73853580.0,94641723.0,33249686.0,5345182.0,9661600.0,,,,,
. Lợi nhuận khác__1,-160148220.0,-137450052.0,-1149810777.0,-11629041587.0,-9799011062.0,813199.0,726522234.0,160436661.0,52369298.0,79011552.0,25677918.0,18423591.0,25881612.0,47498584.0,105451872.0,22125400.0,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,54410836253.0,3736588098.0,-6408147982.0,7400970337.0,-11357295793.0,1272983806.0,1001081476.0,208688146.0,294490960.0,15935253.0,517124405.0,661476793.0,1259739388.0,1361387659.0,1306576437.0,644227342.0,,,,,
. Chi phí thuế TNDN hiện hành__1,6140194114.0,,81899653.0,11275083.0,292683064.0,330160779.0,62701651.0,67654632.0,112294188.0,91797520.0,94871771.0,185809962.0,223271893.0,374511789.0,365841402.0,180383655.0,,,,,
. Chi phí thuế TNDN hoãn lại__1,3272405872.0,,,,,,153460850.0,,,,,,,,,,,,,,
