field,[2021],[2020],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2019],[2018]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,,137625203124.0,187831292745.0,196193711585.0,200519545566.0,209116059824.0,315020826456.0,,434040087644.0,414877597353.0,327189275479.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,1920302225.0,1480723952.0,978585397.0,505713758.0,568138094.0,317976656.0,,765746255.0,1540424282.0,314097780.0,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,,135704900899.0,186350568793.0,195215126188.0,200013831808.0,208547921730.0,314702849800.0,,433274341389.0,413337173071.0,326875177699.0,,,,,,,,,,
. Giá vốn hàng bán__1,,,92202826523.0,135949721865.0,148773101561.0,153686114638.0,155448544363.0,250567111993.0,,401541784806.0,390739472049.0,304617843976.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,,43502074376.0,50400846928.0,46442024627.0,46327717170.0,53099377367.0,64135737807.0,,31732556583.0,22597701022.0,22257333723.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,,997525267.0,153592882.0,21689803.0,40927883.0,67738477.0,176741740.0,,326303430.0,274997058.0,252610177.0,,,,,,,,,,
. Chi phí tài chính__1,,,3058228307.0,4038624308.0,6126572472.0,8204729955.0,3782518701.0,17391638575.0,,5064109942.0,2880358113.0,4655670457.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,3058228307.0,4038624308.0,6126572472.0,8204729955.0,3782518701.0,17123505175.0,,5064109942.0,2880358113.0,4655670457.0,,,,,,,,,,
. Chi phí bán hàng__1,,,7063561655.0,7734029164.0,7729494470.0,8949326354.0,6728994626.0,7152334635.0,,6043366589.0,4798839739.0,5193464972.0,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,,12360738205.0,31202091751.0,91900748396.0,26693866137.0,32587748892.0,27307317338.0,,9225298968.0,8262074365.0,7319197430.0,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,,22017071476.0,7579694587.0,-59293100908.0,2520722607.0,10067853625.0,12461188999.0,,11726084514.0,6931425863.0,5341611041.0,,,,,,,,,,
. Thu nhập khác__1,,,224736370.0,391984722.0,293120733.0,4162999682.0,701670381.0,422174429.0,,159087152.0,629026831.0,668870634.0,,,,,,,,,,
. Chi phí khác__1,,,,,26275029.0,71092726.0,598435530.0,27430857.0,,101924.0,70518870.0,252531629.0,,,,,,,,,,
. Lợi nhuận khác__1,,,224736370.0,391984722.0,266845704.0,4091906956.0,103234851.0,394743572.0,,158985228.0,558507961.0,416339005.0,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,,22241807846.0,7971679309.0,-59026255204.0,6612629563.0,10171088476.0,12855932571.0,,11885069742.0,7489933824.0,5757950046.0,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,,,1567302949.0,2455052170.0,3399175126.0,,1688845032.0,928491728.0,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,-37888285.0,40132046.0,-136616551.0,,-21291667.0,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,,22241807846.0,7971679309.0,-59026255204.0,5083214899.0,7675904260.0,9593373996.0,,10217516377.0,6561442096.0,5757950046.0,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,17982911.0,179636334.0,225853717.0,,568714972.0,4682280332.0,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,,22241807846.0,7971679309.0,-59026255204.0,5065231988.0,7496267926.0,9367520279.0,,9648801405.0,1879161764.0,5757950046.0,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,,301.0,1832.0,-13569.0,1164.0,1723.0,2153.0,,2218.0,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,,104493683513.0,70023073249.0,74640135969.0,155942886769.0,164236465768.0,194801115696.0,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,,,7854567730.0,1118265347.0,3886154019.0,3004211644.0,1684730659.0,7178560254.0,,,,,,,,,,,,,,
..Tiền__1,,,2854567730.0,1118265347.0,3886154019.0,3004211644.0,1684730659.0,7178560254.0,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,5000000000.0,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,,,37482952269.0,32482687002.0,40658404004.0,120407963360.0,130089418008.0,157567242467.0,,,,,,,,,,,,,,
..Phải thu khách hàng__1,,,164650800297.0,164861962715.0,158505753319.0,156621143332.0,154388360831.0,162559648421.0,,,,,,,,,,,,,,
..Trả trước cho người bán__1,,,4782230827.0,151513480.0,3297322210.0,4681575960.0,3304475471.0,3166087915.0,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
