field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2003],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,18584313157.0,14588408457.0,7904858610.0,4251190548.0,6612669156.0,2121620529.0,2559404697.0,1789065359.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,18584313157.0,14588408457.0,7904858610.0,4251190548.0,6612669156.0,2121620529.0,2559404697.0,1789065359.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,13382088782.0,9509330272.0,4612369362.0,2390437510.0,5115379667.0,1419042500.0,2260371497.0,1187919079.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,5202224375.0,5079078185.0,3292489248.0,1860753038.0,1497289489.0,702578029.0,299033200.0,601146280.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,198244478692.0,62897689093.0,5526692611.0,5658568455.0,6478810164.0,5776417034.0,5977676508.0,6270256329.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,26595821576.0,8191350465.0,,,,,4515667.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,,4515667.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,6359326426.0,4990471504.0,6625803905.0,5723363389.0,5492277661.0,5239877588.0,5443546811.0,5338839502.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,170491555065.0,54794945309.0,2193377954.0,1795958104.0,2483821992.0,1239117475.0,828647230.0,1532563107.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,1701.0,24906000.0,3000000.0,91272728.0,18494318.0,14546157.0,10909091.0,10909091.0,,,,,,,,,,,,,,,
. Chi phí khác__1,,27114357.0,,,805478539.0,,246040376.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,1701.0,-2208357.0,3000000.0,91272728.0,-786984221.0,14546157.0,-235131285.0,10909091.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,170491556766.0,54792736952.0,2196377954.0,1887230832.0,1696837771.0,1253663632.0,593515945.0,1543472198.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,1469919953.0,764730115.0,475942258.0,364244162.0,532874373.0,302986280.0,233945845.0,315405887.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,169021636813.0,54028006837.0,1720435696.0,1522986670.0,1163963398.0,950677352.0,359570100.0,1228066311.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
